"","run","seed_percent","number_visits","vis.type"
"1",1,1e-05,11862,"a) visitation rate"
"2",2,1e-05,10942,"a) visitation rate"
"3",3,1e-05,10808,"a) visitation rate"
"4",4,1e-05,14505,"a) visitation rate"
"5",5,1e-05,10816,"a) visitation rate"
"6",6,5e-05,11837,"a) visitation rate"
"7",7,5e-05,12096,"a) visitation rate"
"8",8,5e-05,12915,"a) visitation rate"
"9",9,5e-05,14053,"a) visitation rate"
"10",10,5e-05,11811,"a) visitation rate"
"11",11,1e-04,12331,"a) visitation rate"
"12",12,1e-04,13699,"a) visitation rate"
"13",13,1e-04,12976,"a) visitation rate"
"14",14,1e-04,10271,"a) visitation rate"
"15",15,1e-04,11099,"a) visitation rate"
"16",16,5e-04,14114,"a) visitation rate"
"17",17,5e-04,15903,"a) visitation rate"
"18",18,5e-04,14170,"a) visitation rate"
"19",19,5e-04,16032,"a) visitation rate"
"20",20,5e-04,11660,"a) visitation rate"
"21",21,0.001,11561,"a) visitation rate"
"22",22,0.001,16918,"a) visitation rate"
"23",23,0.001,13503,"a) visitation rate"
"24",24,0.001,13632,"a) visitation rate"
"25",25,0.001,13903,"a) visitation rate"
"26",26,0.005,15816,"a) visitation rate"
"27",27,0.005,17093,"a) visitation rate"
"28",28,0.005,17163,"a) visitation rate"
"29",29,0.005,16241,"a) visitation rate"
"30",30,0.005,14969,"a) visitation rate"
"31",31,0.01,16420,"a) visitation rate"
"32",32,0.01,17002,"a) visitation rate"
"33",33,0.01,18089,"a) visitation rate"
"34",34,0.01,17976,"a) visitation rate"
"35",35,0.01,17868,"a) visitation rate"
"36",36,0.025,17267,"a) visitation rate"
"37",37,0.025,17157,"a) visitation rate"
"38",38,0.025,16734,"a) visitation rate"
"39",39,0.025,16686,"a) visitation rate"
"40",40,0.025,18106,"a) visitation rate"
"41",41,0.05,15400,"a) visitation rate"
"42",42,0.05,17138,"a) visitation rate"
"43",43,0.05,17115,"a) visitation rate"
"44",44,0.05,17447,"a) visitation rate"
"45",45,0.05,16852,"a) visitation rate"
"46",46,0.075,15943,"a) visitation rate"
"47",47,0.075,16762,"a) visitation rate"
"48",48,0.075,18230,"a) visitation rate"
"49",49,0.075,18349,"a) visitation rate"
"50",50,0.075,17056,"a) visitation rate"
"51",51,0.1,16285,"a) visitation rate"
"52",52,0.1,17033,"a) visitation rate"
"53",53,0.1,18028,"a) visitation rate"
"54",54,0.1,17741,"a) visitation rate"
"55",55,0.1,18367,"a) visitation rate"
"56",56,0.25,17204,"a) visitation rate"
"57",57,0.25,17851,"a) visitation rate"
"58",58,0.25,16831,"a) visitation rate"
"59",59,0.25,18347,"a) visitation rate"
"60",60,0.25,17882,"a) visitation rate"
"61",61,0.5,16316,"a) visitation rate"
"62",62,0.5,16842,"a) visitation rate"
"63",63,0.5,16937,"a) visitation rate"
"64",64,0.5,16814,"a) visitation rate"
"65",65,0.5,16387,"a) visitation rate"
"66",66,0.75,16834,"a) visitation rate"
"67",67,0.75,18013,"a) visitation rate"
"68",68,0.75,17305,"a) visitation rate"
"69",69,0.75,18556,"a) visitation rate"
"70",70,0.75,18114,"a) visitation rate"
"71",71,1,17336,"a) visitation rate"
"72",72,1,16924,"a) visitation rate"
"73",73,1,17564,"a) visitation rate"
"74",74,1,17994,"a) visitation rate"
"75",75,1,18386,"a) visitation rate"
"76",1,1e-05,10489,"b) consecutive vis"
"77",2,1e-05,9512,"b) consecutive vis"
"78",3,1e-05,9325,"b) consecutive vis"
"79",4,1e-05,12793,"b) consecutive vis"
"80",5,1e-05,9300,"b) consecutive vis"
"81",6,5e-05,10336,"b) consecutive vis"
"82",7,5e-05,10669,"b) consecutive vis"
"83",8,5e-05,11017,"b) consecutive vis"
"84",9,5e-05,12268,"b) consecutive vis"
"85",10,5e-05,10246,"b) consecutive vis"
"86",11,1e-04,10425,"b) consecutive vis"
"87",12,1e-04,11236,"b) consecutive vis"
"88",13,1e-04,10842,"b) consecutive vis"
"89",14,1e-04,8485,"b) consecutive vis"
"90",15,1e-04,9394,"b) consecutive vis"
"91",16,5e-04,11184,"b) consecutive vis"
"92",17,5e-04,11577,"b) consecutive vis"
"93",18,5e-04,11354,"b) consecutive vis"
"94",19,5e-04,11696,"b) consecutive vis"
"95",20,5e-04,9442,"b) consecutive vis"
"96",21,0.001,9642,"b) consecutive vis"
"97",22,0.001,12648,"b) consecutive vis"
"98",23,0.001,10048,"b) consecutive vis"
"99",24,0.001,9743,"b) consecutive vis"
"100",25,0.001,9747,"b) consecutive vis"
"101",26,0.005,11948,"b) consecutive vis"
"102",27,0.005,9463,"b) consecutive vis"
"103",28,0.005,9452,"b) consecutive vis"
"104",29,0.005,9325,"b) consecutive vis"
"105",30,0.005,9903,"b) consecutive vis"
"106",31,0.01,9180,"b) consecutive vis"
"107",32,0.01,7730,"b) consecutive vis"
"108",33,0.01,9734,"b) consecutive vis"
"109",34,0.01,10405,"b) consecutive vis"
"110",35,0.01,9601,"b) consecutive vis"
"111",36,0.025,6929,"b) consecutive vis"
"112",37,0.025,6864,"b) consecutive vis"
"113",38,0.025,6765,"b) consecutive vis"
"114",39,0.025,7364,"b) consecutive vis"
"115",40,0.025,7521,"b) consecutive vis"
"116",41,0.05,7467,"b) consecutive vis"
"117",42,0.05,7852,"b) consecutive vis"
"118",43,0.05,8155,"b) consecutive vis"
"119",44,0.05,7137,"b) consecutive vis"
"120",45,0.05,8158,"b) consecutive vis"
"121",46,0.075,9121,"b) consecutive vis"
"122",47,0.075,6240,"b) consecutive vis"
"123",48,0.075,8913,"b) consecutive vis"
"124",49,0.075,6659,"b) consecutive vis"
"125",50,0.075,6873,"b) consecutive vis"
"126",51,0.1,6979,"b) consecutive vis"
"127",52,0.1,6891,"b) consecutive vis"
"128",53,0.1,8374,"b) consecutive vis"
"129",54,0.1,6049,"b) consecutive vis"
"130",55,0.1,7529,"b) consecutive vis"
"131",56,0.25,5434,"b) consecutive vis"
"132",57,0.25,6651,"b) consecutive vis"
"133",58,0.25,6383,"b) consecutive vis"
"134",59,0.25,7075,"b) consecutive vis"
"135",60,0.25,5745,"b) consecutive vis"
"136",61,0.5,10997,"b) consecutive vis"
"137",62,0.5,8884,"b) consecutive vis"
"138",63,0.5,6478,"b) consecutive vis"
"139",64,0.5,6266,"b) consecutive vis"
"140",65,0.5,7491,"b) consecutive vis"
"141",66,0.75,5349,"b) consecutive vis"
"142",67,0.75,6064,"b) consecutive vis"
"143",68,0.75,5566,"b) consecutive vis"
"144",69,0.75,6307,"b) consecutive vis"
"145",70,0.75,5694,"b) consecutive vis"
"146",71,1,5521,"b) consecutive vis"
"147",72,1,5713,"b) consecutive vis"
"148",73,1,6237,"b) consecutive vis"
"149",74,1,11652,"b) consecutive vis"
"150",75,1,6560,"b) consecutive vis"
"151",1,1e-05,1182.15884572329,"geo decay 0.9"
"152",2,1e-05,1155.81773545152,"geo decay 0.9"
"153",3,1e-05,1214.52978852971,"geo decay 0.9"
"154",4,1e-05,1139.13604521392,"geo decay 0.9"
"155",5,1e-05,1116.05600976471,"geo decay 0.9"
"156",6,5e-05,1272.61029324301,"geo decay 0.9"
"157",7,5e-05,1068.66895156355,"geo decay 0.9"
"158",8,5e-05,908.752179932512,"geo decay 0.9"
"159",9,5e-05,1015.7561561624,"geo decay 0.9"
"160",10,5e-05,1129.26113442544,"geo decay 0.9"
"161",11,1e-04,1183.27778516474,"geo decay 0.9"
"162",12,1e-04,909.113833458067,"geo decay 0.9"
"163",13,1e-04,1230.08131283928,"geo decay 0.9"
"164",14,1e-04,1232.42105393777,"geo decay 0.9"
"165",15,1e-04,1283.4494592009,"geo decay 0.9"
"166",16,5e-04,1163.13487282005,"geo decay 0.9"
"167",17,5e-04,1270.88023132498,"geo decay 0.9"
"168",18,5e-04,1106.09387936157,"geo decay 0.9"
"169",19,5e-04,1176.36474483172,"geo decay 0.9"
"170",20,5e-04,1180.59700668913,"geo decay 0.9"
"171",21,0.001,1167.25863904082,"geo decay 0.9"
"172",22,0.001,1135.80071915906,"geo decay 0.9"
"173",23,0.001,1185.79272417338,"geo decay 0.9"
"174",24,0.001,1144.40770461625,"geo decay 0.9"
"175",25,0.001,1157.37725459787,"geo decay 0.9"
"176",26,0.005,951.557321967372,"geo decay 0.9"
"177",27,0.005,906.242021748101,"geo decay 0.9"
"178",28,0.005,1163.63526718121,"geo decay 0.9"
"179",29,0.005,1069.79863009719,"geo decay 0.9"
"180",30,0.005,1059.5381881206,"geo decay 0.9"
"181",31,0.01,930.000396061533,"geo decay 0.9"
"182",32,0.01,885.345916325367,"geo decay 0.9"
"183",33,0.01,909.1248243492,"geo decay 0.9"
"184",34,0.01,961.024636034977,"geo decay 0.9"
"185",35,0.01,999.906287555355,"geo decay 0.9"
"186",36,0.05,758.071202007696,"geo decay 0.9"
"187",37,0.05,727.631425737438,"geo decay 0.9"
"188",38,0.05,871.723271272659,"geo decay 0.9"
"189",39,0.05,728.661400771436,"geo decay 0.9"
"190",40,0.05,880.662397305147,"geo decay 0.9"
"191",41,0.1,884.237951165281,"geo decay 0.9"
"192",42,0.1,761.484456532932,"geo decay 0.9"
"193",43,0.1,692.562564475483,"geo decay 0.9"
"194",44,0.1,650.313229804645,"geo decay 0.9"
"195",45,0.1,713.309582852863,"geo decay 0.9"
"196",46,0.5,785.428719465746,"geo decay 0.9"
"197",47,0.5,718.658462095583,"geo decay 0.9"
"198",48,0.5,722.44201128448,"geo decay 0.9"
"199",49,0.5,611.500726235509,"geo decay 0.9"
"200",50,0.5,641.167931047118,"geo decay 0.9"
"201",51,1,682.368221455245,"geo decay 0.9"
"202",52,1,643.756981033334,"geo decay 0.9"
"203",53,1,623.073201871027,"geo decay 0.9"
"204",54,1,551.226068787564,"geo decay 0.9"
"205",55,1,703.371640038319,"geo decay 0.9"
"206",1,1e-05,3725.8333836834,"geo decay 0.7"
"207",2,1e-05,3728.41633845306,"geo decay 0.7"
"208",3,1e-05,3894.09544885063,"geo decay 0.7"
"209",4,1e-05,3592.27174186184,"geo decay 0.7"
"210",5,1e-05,3614.31918131751,"geo decay 0.7"
"211",6,5e-05,4035.36964054764,"geo decay 0.7"
"212",7,5e-05,3370.03322715243,"geo decay 0.7"
"213",8,5e-05,2981.10595437901,"geo decay 0.7"
"214",9,5e-05,3271.51041474639,"geo decay 0.7"
"215",10,5e-05,3600.03692071669,"geo decay 0.7"
"216",11,1e-04,3793.70590614552,"geo decay 0.7"
"217",12,1e-04,2830.41717119474,"geo decay 0.7"
"218",13,1e-04,3934.39465636455,"geo decay 0.7"
"219",14,1e-04,3950.96958184695,"geo decay 0.7"
"220",15,1e-04,4125.5431905472,"geo decay 0.7"
"221",16,5e-04,3721.6947055309,"geo decay 0.7"
"222",17,5e-04,3989.2742705507,"geo decay 0.7"
"223",18,5e-04,3516.59671977053,"geo decay 0.7"
"224",19,5e-04,3713.629680689,"geo decay 0.7"
"225",20,5e-04,3669.4753727164,"geo decay 0.7"
"226",21,0.001,3636.89897579202,"geo decay 0.7"
"227",22,0.001,3619.11323551159,"geo decay 0.7"
"228",23,0.001,3674.73691180067,"geo decay 0.7"
"229",24,0.001,3708.38191533176,"geo decay 0.7"
"230",25,0.001,3621.18319528682,"geo decay 0.7"
"231",26,0.005,2888.41990321013,"geo decay 0.7"
"232",27,0.005,2890.05984151483,"geo decay 0.7"
"233",28,0.005,3717.76432864677,"geo decay 0.7"
"234",29,0.005,3387.04180062041,"geo decay 0.7"
"235",30,0.005,3307.72122157987,"geo decay 0.7"
"236",31,0.01,2923.25862506234,"geo decay 0.7"
"237",32,0.01,2843.06766059959,"geo decay 0.7"
"238",33,0.01,2925.83319493761,"geo decay 0.7"
"239",34,0.01,3016.47238280361,"geo decay 0.7"
"240",35,0.01,3256.05297265879,"geo decay 0.7"
"241",36,0.05,2518.07015853376,"geo decay 0.7"
"242",37,0.05,2393.66811300173,"geo decay 0.7"
"243",38,0.05,2802.54162124705,"geo decay 0.7"
"244",39,0.05,2442.93918169272,"geo decay 0.7"
"245",40,0.05,2908.55096980998,"geo decay 0.7"
"246",41,0.1,2917.07211979099,"geo decay 0.7"
"247",42,0.1,2550.72291880174,"geo decay 0.7"
"248",43,0.1,2323.93548848334,"geo decay 0.7"
"249",44,0.1,2155.237943466,"geo decay 0.7"
"250",45,0.1,2372.76814056945,"geo decay 0.7"
"251",46,0.5,2649.35133766859,"geo decay 0.7"
"252",47,0.5,2434.00662664531,"geo decay 0.7"
"253",48,0.5,2385.85901080529,"geo decay 0.7"
"254",49,0.5,2122.15615235922,"geo decay 0.7"
"255",50,0.5,2213.07735237465,"geo decay 0.7"
"256",51,1,2310.55932764637,"geo decay 0.7"
"257",52,1,2200.19711584699,"geo decay 0.7"
"258",53,1,2134.06543792559,"geo decay 0.7"
"259",54,1,1880.68316703037,"geo decay 0.7"
"260",55,1,2427.16716426867,"geo decay 0.7"
"261",1,1e-05,6216.82551617494,"geo decay 0.5"
"262",2,1e-05,6307.44108160006,"geo decay 0.5"
"263",3,1e-05,6557.20215704544,"geo decay 0.5"
"264",4,1e-05,5977.5053651376,"geo decay 0.5"
"265",5,1e-05,6126.14064561035,"geo decay 0.5"
"266",6,5e-05,6736.78030230075,"geo decay 0.5"
"267",7,5e-05,5614.54539440433,"geo decay 0.5"
"268",8,5e-05,5164.51291505795,"geo decay 0.5"
"269",9,5e-05,5534.85688991593,"geo decay 0.5"
"270",10,5e-05,6021.53794822301,"geo decay 0.5"
"271",11,1e-04,6406.0237515579,"geo decay 0.5"
"272",12,1e-04,4681.46503388326,"geo decay 0.5"
"273",13,1e-04,6621.81132271132,"geo decay 0.5"
"274",14,1e-04,6658.90189609125,"geo decay 0.5"
"275",15,1e-04,6976.92401413826,"geo decay 0.5"
"276",16,5e-04,6268.55668009534,"geo decay 0.5"
"277",17,5e-04,6650.45792565592,"geo decay 0.5"
